Claim_ID,Customer_Age,Policy_Type,Years_With_Company,Claim_Amount,Number_of_Previous_Claims,Policy_Premium,Documentation_Complete,Claim_Type,Customer_Rating,Fraud_Flag,Agent_Review_Score,Claim_Approved
1,31,Travel,2,10917,6,5036,Yes,Theft,3,No,1,No
2,59,Life,22,,1,6393,Yes,Accident,1,No,6,Yes
3,59,Life,22,47693,7,6630,Yes,Accident,4,No,3,No
4,38,Auto,22,44801,4,984,Yes,Accident,2,No,1,No
5,23,Health,8,19056,7,6355,No,Theft,1,No,1,No
6,24,Home,14,6760,4,6310,Yes,Medical,2,No,8,No
7,34,Auto,5,38421,1,3507,Yes,Damage,1,No,8,No
8,49,Travel,15,35880,7,3211,Yes,Other,3,No,4,No
9,82,Travel,9,5730,7,1368,Yes,Theft,1,No,7,Yes
10,21,Life,24,45907,4,6255,Yes,Accident,4,No,9,Yes
11,26,Health,3,11596,7,1463,No,Theft,3,No,1,No
12,77,Home,4,,0,6195,Yes,Theft,4,No,8,Yes
13,68,Life,2,38820,7,897,Yes,Damage,3,No,8,No
14,52,Life,14,44424,7,1075,No,Other,2,No,2,No
15,56,Health,17,4437,0,5562,Yes,Damage,3,No,8,Yes
16,78,Health,19,6569,0,6072,Yes,Medical,4,Yes,8,Yes
17,48,Auto,8,18105,3,4411,Yes,Damage,5,No,7,Yes
18,40,Life,21,35106,2,4822,Yes,Accident,4,No,9,Yes
19,62,Home,11,14278,2,6672,Yes,Damage,3,Yes,6,Yes
20,46,Life,13,30194,0,6537,Yes,Damage,1,No,6,Yes
21,35,Auto,10,30822,1,1982,Yes,Accident,,No,2,Yes
22,35,Home,24,30746,0,3798,,Other,5,Yes,6,No
23,35,Health,3,32681,6,6710,Yes,Theft,5,Yes,4,No
24,73,Travel,19,24232,5,3251,No,Medical,1,No,5,No
25,51,Auto,19,4364,0,6596,Yes,Other,5,No,5,Yes
26,67,Auto,4,29714,6,1890,No,Damage,5,No,9,No
27,58,Life,2,38780,2,2613,Yes,Accident,4,No,6,Yes
28,82,Health,2,8795,6,2266,Yes,Other,2,No,4,No
29,73,Health,16,35921,4,6120,No,Other,4,No,2,No
30,57,Travel,3,14333,1,1830,No,Accident,2,No,1,No
31,70,Life,15,48364,3,3538,Yes,Theft,4,No,2,No
32,46,Health,16,17898,3,3693,Yes,Other,2,No,4,Yes
33,26,Health,4,25474,2,5732,Yes,Other,2,No,2,Yes
34,35,Home,0,3781,6,4777,Yes,Theft,4,Yes,5,No
35,70,Health,11,35636,1,526,No,Medical,2,No,3,No
36,55,Home,15,42541,6,3002,No,Medical,4,No,9,No
37,40,Auto,12,34391,4,6120,Yes,Damage,1,Yes,2,No
38,70,Travel,13,17567,6,2302,Yes,Theft,1,No,5,No
39,28,Travel,21,29346,7,5247,Yes,Other,1,No,5,No
40,50,Health,20,38548,4,4079,No,Damage,1,No,1,No
41,64,Travel,13,4877,1,4472,Yes,Theft,1,No,7,Yes
42,23,Life,1,8168,4,6819,No,Theft,2,No,9,No
43,25,Auto,1,22376,4,5154,Yes,Medical,3,No,9,No
44,31,Health,12,36451,5,5555,Yes,Theft,3,No,5,No
45,44,Travel,7,14796,2,2229,No,Theft,3,No,1,Yes
46,20,Home,9,4698,0,2681,Yes,Medical,,No,10,Yes
47,47,Health,24,1245,2,3153,Yes,Damage,1,No,4,Yes
48,30,Travel,2,2460,7,1432,Yes,Medical,4,No,1,No
49,64,Auto,8,46299,7,3767,Yes,Medical,2,No,5,No
50,35,Travel,1,35018,0,6101,Yes,Theft,3,No,10,No
51,29,Travel,2,17381,6,3401,Yes,Other,5,No,5,Yes
52,44,Home,7,38167,1,1081,Yes,Other,4,No,9,Yes
53,58,Home,18,2732,7,6427,No,Medical,4,No,10,Yes
54,40,Travel,22,6389,0,6792,,Theft,5,No,4,Yes
55,34,Home,2,13254,1,5637,Yes,Other,2,No,2,No
56,47,Home,0,15177,5,5371,Yes,Damage,1,No,5,No
57,73,Life,0,460,2,6300,Yes,Accident,5,No,3,Yes
58,38,Travel,23,19408,5,912,No,Theft,2,No,5,No
59,74,Home,2,30559,0,1681,Yes,Theft,1,No,4,No
60,59,Health,2,2658,6,5480,Yes,Damage,2,No,10,No
61,83,Travel,14,,0,2704,Yes,Damage,4,No,9,Yes
62,35,Health,16,37061,2,4697,Yes,Other,4,No,2,Yes
63,83,Travel,15,30554,7,5113,Yes,Damage,4,No,9,Yes
64,76,Travel,13,20516,0,2294,No,Medical,,No,3,No
65,78,Life,9,35240,0,6810,Yes,Medical,4,No,1,Yes
66,69,Health,13,32441,0,4406,No,Theft,3,No,9,Yes
67,51,Home,0,34537,3,6398,Yes,Medical,3,Yes,9,No
68,31,Travel,6,47221,4,6591,Yes,Damage,,No,10,No
69,68,Health,3,30606,4,1693,No,Medical,4,No,10,No
70,84,Auto,16,9509,7,1003,Yes,Medical,4,No,3,No
71,50,Travel,3,1746,2,2626,Yes,Theft,2,No,10,Yes
72,79,Travel,11,47598,1,4201,Yes,Medical,5,No,4,No
73,37,Life,0,46395,1,3389,No,Accident,4,No,3,No
74,54,Auto,2,37886,5,6008,Yes,Accident,4,No,7,No
75,39,Travel,23,31512,2,5142,No,Damage,1,Yes,5,No
76,81,Home,0,48156,6,4759,Yes,Accident,4,No,3,No
77,51,,19,49358,2,796,No,Damage,2,No,1,No
78,30,Travel,1,9020,3,1812,Yes,Medical,3,No,7,Yes
79,56,Travel,9,45688,2,5585,Yes,Other,1,Yes,10,No
80,80,Health,16,37659,0,6799,Yes,Accident,5,No,7,Yes
81,38,Life,5,42915,2,5828,No,Other,5,No,10,No
82,30,Travel,19,33167,0,1936,Yes,Medical,2,Yes,5,No
83,18,Travel,13,39822,7,5819,Yes,Accident,4,Yes,6,Yes
84,77,Travel,10,43311,6,6821,No,Other,1,No,9,No
85,28,Home,19,29751,6,5614,Yes,Other,4,No,3,No
86,63,Home,2,4650,6,3487,Yes,Damage,3,No,3,No
87,68,Home,13,22632,0,2742,Yes,Accident,3,No,8,Yes
88,56,Health,15,31784,5,5552,No,Theft,2,No,5,No
89,59,Travel,4,37392,3,3702,No,,4,No,3,No
90,46,Health,0,17233,6,3702,Yes,Damage,1,No,8,No
91,42,Travel,12,30514,3,2457,Yes,Accident,1,Yes,10,No
92,84,Health,0,2352,6,4936,Yes,Theft,4,No,6,Yes
93,41,Home,23,3486,3,6209,Yes,Damage,1,No,4,Yes
94,54,Home,12,28774,3,519,Yes,Damage,3,No,10,Yes
95,82,Health,9,44319,3,2864,Yes,Other,1,No,4,No
96,82,Auto,15,18133,2,2995,Yes,Accident,4,No,3,Yes
97,21,Home,4,37478,3,2706,Yes,Medical,1,No,10,No
98,19,Travel,9,40902,1,3130,Yes,Accident,4,No,3,Yes
99,38,Home,5,45635,2,1926,Yes,Accident,1,No,4,No
100,45,,9,40798,4,3959,Yes,Medical,4,Yes,7,No
101,84,Auto,0,27872,6,1001,Yes,Theft,1,No,10,No
102,73,Life,12,20950,3,737,Yes,Theft,4,No,8,No
103,63,Auto,20,5473,3,5242,No,Accident,5,No,8,Yes
104,29,Health,1,26706,5,5956,No,Accident,2,No,1,No
105,38,Home,14,39878,6,6095,No,Accident,5,No,8,Yes
106,39,Home,24,15179,5,4208,No,Accident,3,Yes,1,No
107,81,Home,24,9398,1,5373,No,Accident,4,No,9,Yes
108,29,Life,23,35254,7,3649,Yes,Damage,1,No,5,No
109,36,Travel,4,37893,5,6337,Yes,Other,4,No,5,Yes
110,48,Life,13,21984,0,4583,No,Accident,5,No,6,Yes
111,62,Home,15,8038,5,3310,Yes,Theft,4,No,4,Yes
112,37,Health,12,23699,2,2241,Yes,Medical,2,No,1,No
113,26,Home,9,26248,6,2196,Yes,Accident,4,No,5,No
114,71,Home,9,32668,6,1860,Yes,Theft,1,No,2,No
115,81,Life,5,43260,1,6158,Yes,Damage,4,Yes,6,Yes
116,40,Life,21,41788,5,1401,Yes,Other,5,No,2,No
117,59,Auto,16,1050,5,2318,Yes,Other,3,No,3,Yes
118,82,Life,17,4258,4,3174,Yes,Theft,3,No,7,Yes
119,55,Health,6,19080,2,6147,Yes,Damage,2,No,7,Yes
120,70,Home,5,32662,1,2299,Yes,Accident,5,No,1,No
121,32,Travel,21,5867,5,5043,No,Other,4,No,5,No
122,18,Health,7,40723,1,4020,Yes,Medical,3,Yes,5,No
123,50,Auto,18,5787,2,3923,No,Other,5,No,2,Yes
124,34,Home,22,31174,1,3680,No,Theft,4,No,2,Yes
125,51,Health,12,5434,5,425,Yes,Medical,2,No,7,Yes
126,69,Travel,5,19315,0,4774,No,Medical,,No,3,Yes
127,79,Home,12,7449,1,5732,No,Other,3,No,7,Yes
128,60,Health,24,19649,2,6042,No,Theft,5,Yes,2,No
129,54,Life,17,11849,3,6262,No,Damage,1,No,3,No
130,76,Travel,16,33098,7,5063,Yes,Other,1,No,10,No
131,36,Auto,24,6960,1,4687,Yes,Damage,5,Yes,2,Yes
132,63,Travel,6,16415,6,6568,Yes,Accident,4,No,3,Yes
133,54,Life,14,47837,2,5992,Yes,Accident,1,Yes,2,No
134,50,Travel,7,17686,1,3773,No,Medical,4,No,8,Yes
135,39,Health,24,10508,7,1101,No,Accident,2,No,10,Yes
136,25,Home,12,49013,6,407,Yes,Damage,2,No,7,No
137,24,Auto,19,44394,2,2769,Yes,Medical,2,Yes,8,No
138,38,Auto,9,25686,0,3500,Yes,Theft,4,No,10,Yes
139,77,Travel,1,15573,7,1500,No,Theft,1,Yes,10,No
140,21,Life,21,48990,1,6651,Yes,Theft,2,No,10,No
141,53,Travel,21,3618,1,2953,Yes,Damage,5,No,8,Yes
142,35,Life,8,41168,4,3097,Yes,Theft,2,No,6,No
143,24,Life,19,9273,5,5697,Yes,Theft,5,No,8,Yes
144,21,Health,23,45488,0,5579,Yes,Theft,3,Yes,4,No
145,60,Health,21,11282,5,5111,Yes,Damage,5,No,1,Yes
146,31,Health,5,17493,2,3517,Yes,Medical,5,No,6,Yes
147,74,Travel,20,,6,2402,No,Theft,4,No,10,No
148,70,Home,21,44938,4,573,Yes,Damage,3,No,8,Yes
149,57,Health,7,10456,0,2693,Yes,Accident,1,No,10,Yes
150,84,Life,15,22472,2,599,No,Accident,4,No,5,No
151,53,Health,10,8156,6,6030,No,Damage,4,No,8,Yes
152,56,Travel,12,37343,6,638,Yes,Medical,5,No,5,No
153,48,Travel,20,38010,4,3635,No,Medical,3,No,7,No
154,73,Life,15,3341,5,889,Yes,Other,3,No,1,Yes
155,32,Travel,16,47982,5,3741,No,Theft,2,No,6,No
156,28,Auto,17,2957,3,926,No,Accident,2,No,6,No
157,38,Travel,15,13318,5,5444,Yes,Medical,5,No,1,Yes
158,30,Auto,0,3913,3,1512,Yes,Accident,2,No,7,No
159,57,Travel,15,38652,5,1599,Yes,Medical,4,No,9,No
160,31,Health,12,9593,1,2459,Yes,Theft,5,No,3,Yes
161,41,Travel,0,29215,2,1657,Yes,Damage,3,Yes,3,No
162,31,Auto,17,25112,0,1002,Yes,Damage,4,No,1,Yes
163,,Auto,15,32266,3,6978,Yes,,4,No,9,Yes
164,25,Home,21,7072,3,2905,Yes,Theft,1,Yes,6,No
165,22,Travel,5,11916,4,4768,Yes,Accident,3,No,7,Yes
166,76,Travel,10,21850,1,5149,No,Medical,1,No,4,No
167,73,Home,4,2675,5,936,Yes,Medical,3,No,4,Yes
168,26,Health,13,4147,5,2002,Yes,Medical,4,No,7,Yes
169,59,Travel,15,34658,2,616,Yes,Accident,2,No,7,Yes
170,52,Auto,18,18945,3,5874,Yes,Accident,5,Yes,3,No
171,56,Life,19,31827,0,496,Yes,Medical,4,No,6,Yes
172,51,Life,24,13033,3,3174,Yes,Medical,2,No,2,Yes
173,33,Health,11,44498,3,6796,No,Medical,5,No,4,No
174,74,Home,20,24015,2,1199,No,Other,3,No,5,No
175,19,Home,10,25562,4,1270,Yes,Medical,2,No,8,No
176,46,Home,17,21091,4,6915,Yes,Damage,3,No,8,Yes
177,29,Home,17,48129,7,6550,No,Damage,3,No,1,No
178,64,Home,23,30621,1,4621,Yes,Medical,1,No,7,No
179,61,Life,7,31247,6,1950,Yes,Theft,1,No,10,No
180,65,Health,22,11416,2,1906,No,Theft,4,No,1,Yes
181,41,Home,21,14176,2,1290,Yes,Damage,3,No,4,Yes
182,56,Auto,17,42872,2,551,Yes,Accident,4,No,7,Yes
183,37,Life,8,42032,0,6927,Yes,Medical,5,No,10,Yes
184,62,Life,6,12237,0,6108,Yes,Accident,4,No,3,Yes
185,73,Life,22,32592,7,802,Yes,Theft,2,No,2,No
186,41,Travel,0,24412,1,6868,Yes,Theft,3,No,7,Yes
187,55,Life,13,7112,4,6099,Yes,Accident,4,No,9,Yes
188,72,Travel,13,26416,0,4447,Yes,Medical,4,No,3,Yes
189,44,Travel,12,13162,0,5009,Yes,Damage,1,No,6,Yes
190,62,Life,15,33838,7,3807,No,Damage,2,No,9,No
191,72,Life,21,1509,1,1024,No,Accident,2,No,3,No
192,22,Home,23,15150,4,1459,Yes,Accident,4,No,1,Yes
193,18,Travel,20,7469,1,2843,Yes,Damage,4,No,4,Yes
194,74,Health,16,4055,0,2760,No,Medical,1,No,1,No
195,84,Health,12,46025,5,4349,Yes,Other,5,No,3,No
196,61,Health,16,42578,2,4194,Yes,Theft,5,No,6,No
197,74,Health,2,22664,2,6749,Yes,Accident,4,No,7,Yes
198,33,Travel,7,27871,5,6277,Yes,Medical,3,No,8,Yes
199,38,Life,19,11983,0,1770,Yes,Other,1,No,6,Yes
200,31,Life,7,780,4,5642,Yes,Theft,3,Yes,6,No
201,52,Life,9,15843,1,6614,Yes,Damage,5,Yes,4,Yes
202,72,Travel,23,,4,5413,Yes,Other,4,No,4,No
203,59,Auto,19,7072,7,4653,Yes,Other,4,No,6,Yes
204,20,Life,21,11886,7,2068,Yes,Theft,3,No,6,Yes
205,79,Travel,7,,0,5847,Yes,Theft,4,No,8,Yes
206,23,Travel,17,4648,6,2208,Yes,Damage,2,No,1,No
207,61,Travel,9,21960,1,877,Yes,Accident,4,No,8,Yes
208,44,Auto,9,3001,0,2472,Yes,Accident,1,No,1,No
209,54,Travel,20,30227,0,2498,Yes,Theft,3,No,10,Yes
210,24,Home,2,13495,7,1404,Yes,Theft,1,No,10,No
211,,Travel,12,44560,1,4289,No,Medical,5,No,8,No
212,62,Auto,3,26980,0,1647,Yes,Damage,2,No,7,Yes
213,31,Life,6,15022,7,4332,Yes,Other,4,Yes,2,Yes
214,56,Home,21,19632,0,649,Yes,Accident,1,No,9,Yes
215,36,Auto,1,9489,0,4163,Yes,Other,5,No,1,Yes
216,33,Health,3,34271,5,3770,Yes,Other,1,No,7,No
217,72,Health,24,29381,5,3407,Yes,Damage,2,No,10,Yes
218,67,Life,0,32718,7,6920,No,Accident,1,No,6,No
219,67,Health,23,1838,4,6873,No,Medical,5,No,3,No
220,53,Home,24,34848,4,3979,Yes,Accident,2,No,8,No
221,47,Auto,13,4816,6,4385,No,,4,No,1,No
222,37,Life,22,6081,4,3856,Yes,Damage,4,No,2,Yes
223,45,Health,19,13762,6,2434,Yes,Other,2,No,1,No
224,33,Home,0,28348,7,2452,Yes,Accident,1,No,3,No
225,45,Life,18,35689,5,6709,Yes,Other,4,No,3,No
226,45,Travel,23,44464,5,4286,Yes,Damage,3,No,10,No
227,69,Auto,5,1339,7,3979,Yes,Theft,4,No,4,Yes
228,38,Health,0,4354,5,1148,No,Medical,5,No,8,No
229,43,Life,19,21139,5,5632,Yes,Medical,2,No,7,No
230,35,Life,22,48313,7,2391,No,Other,1,No,3,No
231,54,Travel,13,14473,0,2911,Yes,Theft,5,No,5,Yes
232,28,Travel,23,29257,4,2595,Yes,Other,4,No,10,Yes
233,37,Health,10,47639,3,3822,Yes,Medical,3,No,2,No
234,19,Home,12,48679,2,2806,No,Other,4,Yes,8,No
235,18,Auto,20,15260,2,4898,No,Damage,1,No,8,Yes
236,53,Auto,4,28225,6,2762,Yes,Other,4,No,3,No
237,50,Life,22,25473,7,2066,Yes,Theft,4,No,10,Yes
238,75,Travel,17,22491,3,1500,Yes,Medical,4,Yes,6,Yes
239,35,Auto,5,1712,1,3751,Yes,Accident,4,No,1,Yes
240,45,Travel,17,44731,5,5648,Yes,Accident,1,No,8,No
241,32,Health,18,29575,3,6270,Yes,,1,No,5,No
242,,Health,0,49265,5,2584,No,Other,5,No,3,No
243,53,Travel,19,10102,7,907,Yes,Theft,4,No,6,Yes
244,34,Travel,1,8613,6,6592,No,Medical,2,No,7,No
245,44,Life,19,43370,3,3689,Yes,Accident,2,Yes,3,No
246,79,Travel,18,49294,6,6010,Yes,Damage,5,No,3,No
247,54,Health,19,7798,5,4733,Yes,Other,2,No,3,No
248,41,Health,1,3424,1,4652,Yes,Damage,5,Yes,4,Yes
249,29,Health,18,42080,5,5297,No,Damage,5,No,10,No
250,80,Home,13,4032,7,5508,Yes,Accident,3,No,5,Yes
251,40,Home,15,11719,6,4090,Yes,Damage,3,No,10,Yes
252,55,Health,1,10296,2,1287,Yes,Medical,1,No,4,Yes
253,50,Life,21,19126,5,5211,Yes,Accident,4,No,9,Yes
254,23,Auto,7,25970,3,5448,No,Medical,3,No,3,No
255,36,Auto,17,22888,5,2477,Yes,Medical,1,No,9,Yes
256,52,Travel,10,21822,2,1187,Yes,Other,3,No,6,Yes
257,32,Auto,2,26088,3,6332,Yes,Medical,4,Yes,4,No
258,74,Auto,11,19027,6,1383,Yes,Accident,,No,10,Yes
259,,Home,1,23357,1,3155,No,Other,5,No,9,No
260,56,Home,4,21139,4,797,Yes,Damage,3,No,6,No
261,36,Home,0,14459,4,4188,Yes,Accident,1,No,6,No
262,20,Travel,0,37127,0,6111,No,Theft,4,Yes,1,No
263,28,Travel,7,14239,2,4848,Yes,Theft,3,No,7,Yes
264,72,Life,7,32519,6,2113,Yes,Damage,1,No,10,Yes
265,82,Home,5,25225,3,5218,Yes,Medical,2,No,10,No
266,41,Life,18,40417,7,904,No,Other,1,No,9,No
267,19,Health,7,42773,3,3733,No,Accident,3,No,6,No
268,58,Travel,8,48147,1,2070,,Medical,5,No,8,Yes
269,52,Auto,21,38434,5,4840,Yes,Damage,5,Yes,5,No
270,58,Life,1,30755,1,3766,Yes,Theft,3,No,10,Yes
271,68,Travel,23,47445,6,554,Yes,Medical,1,No,4,No
272,67,Life,1,9076,2,939,Yes,Other,1,No,6,Yes
273,39,Life,24,36196,0,5160,Yes,Theft,4,No,6,Yes
274,19,Health,1,30010,5,3639,Yes,Medical,1,No,5,No
275,75,Life,12,15449,6,2556,Yes,Other,1,No,2,No
276,62,Life,18,17053,0,6304,No,Other,5,No,10,Yes
277,46,Home,18,4218,6,5289,Yes,Damage,2,No,10,Yes
278,79,Life,21,148,7,3660,Yes,Medical,5,No,8,Yes
279,44,Health,20,43191,5,3090,Yes,,5,No,4,No
280,76,Auto,16,7493,6,4343,Yes,Other,3,No,2,Yes
281,18,Travel,13,7840,7,5642,Yes,Other,1,Yes,9,No
282,28,,7,37195,6,3494,Yes,Other,5,Yes,6,No
283,49,Auto,7,14991,7,6339,Yes,Other,2,No,10,No
284,57,Auto,16,37711,1,2850,No,Other,4,No,6,Yes
285,59,Health,14,10768,5,5230,Yes,Accident,3,No,4,Yes
286,60,Auto,18,11578,7,3683,No,Damage,5,No,2,No
287,48,Health,13,15914,1,2711,Yes,Other,3,Yes,2,No
288,32,Home,21,17482,3,4958,Yes,Theft,4,No,7,Yes
289,57,Travel,21,46498,5,438,No,Accident,4,No,3,No
290,22,Life,7,46159,5,4889,No,Theft,4,No,2,No
291,83,Auto,5,36738,2,4622,No,Other,2,No,10,Yes
292,68,Travel,0,43597,0,2222,Yes,Other,1,No,2,No
293,54,Life,23,4678,5,3571,No,Damage,3,No,6,Yes
294,45,Home,4,26756,1,5264,Yes,Other,2,No,1,No
295,36,Auto,10,992,6,431,Yes,Other,2,Yes,4,No
296,64,Home,17,22736,4,4781,Yes,Damage,3,No,6,No
297,65,Health,16,10462,0,3432,No,Theft,3,No,6,Yes
298,55,Home,19,49967,7,3502,Yes,Other,5,No,8,No
299,83,Auto,6,17060,1,4123,Yes,Theft,2,No,4,Yes
300,64,Travel,12,43121,3,3869,No,Other,1,No,6,No
301,29,Home,6,14772,1,3980,Yes,Other,4,No,10,Yes
302,25,Travel,22,22201,0,5711,,Medical,2,No,2,No
303,39,,23,25588,5,3385,No,Medical,1,Yes,3,No
304,25,Home,15,10873,2,2271,No,Medical,5,No,1,Yes
305,45,Life,3,24198,4,5108,No,Accident,2,No,8,No
306,23,Health,14,813,7,6788,Yes,Damage,3,No,8,Yes
307,37,Auto,20,42064,2,5610,No,Theft,5,No,10,No
308,36,Health,15,47282,0,1818,Yes,Theft,3,No,7,No
309,43,Travel,14,10522,1,5935,Yes,Theft,3,No,1,Yes
310,36,Life,15,2475,5,4936,Yes,Accident,1,No,7,Yes
311,22,Home,17,18362,1,3050,Yes,Theft,2,Yes,5,No
312,20,Auto,22,15739,3,5414,Yes,Accident,2,No,1,No
313,53,Health,20,518,5,4664,Yes,Medical,1,No,5,Yes
314,76,,6,22390,6,4032,Yes,Accident,5,No,5,Yes
315,59,Travel,2,31596,3,5798,Yes,Other,2,No,5,No
316,48,Home,0,45742,4,6692,No,Accident,3,No,10,No
317,33,Auto,22,28769,1,6494,No,Other,4,No,6,Yes
318,27,Travel,7,21212,5,4764,Yes,Other,3,No,6,No
319,43,Auto,24,28037,6,5400,Yes,Theft,2,No,7,No
320,55,Auto,24,11514,6,2668,Yes,Accident,5,Yes,7,No
321,70,Health,2,18403,3,5256,Yes,Damage,5,No,8,Yes
322,41,Life,4,4004,4,2495,Yes,Damage,1,No,8,No
323,40,Home,15,49858,2,6613,No,Theft,4,No,6,No
324,,Auto,3,42593,6,2327,Yes,Medical,1,No,3,No
325,62,Life,21,40393,3,6329,Yes,Other,4,No,1,No
326,67,Travel,20,38470,0,3881,No,Other,2,No,6,No
327,67,Travel,3,23818,6,5249,Yes,Accident,1,No,7,No
328,52,Travel,11,7006,2,2046,No,Damage,4,No,8,Yes
329,23,Auto,12,41899,5,1103,Yes,Accident,5,No,10,No
330,,,21,49576,0,3110,Yes,Damage,3,No,5,No
331,56,Health,14,34269,6,1713,No,Theft,2,No,4,No
332,63,Life,10,38996,3,5005,No,Medical,5,No,9,No
333,59,Home,1,16517,5,2787,No,Other,2,No,5,No
334,82,Home,3,32033,5,4036,Yes,,5,No,9,Yes
335,35,Auto,4,49229,7,811,Yes,Damage,2,No,9,No
336,78,Auto,5,5409,0,1198,Yes,Accident,2,No,7,Yes
337,82,Home,16,48488,4,5385,Yes,Damage,4,No,10,No
338,48,Home,22,25752,1,5780,Yes,Other,2,No,5,No
339,55,Home,20,6666,1,6840,No,Damage,1,No,7,Yes
340,35,Auto,3,31003,0,1547,Yes,Accident,2,No,7,No
341,81,Auto,24,48450,4,5394,,Accident,3,Yes,4,No
342,39,Life,6,36900,7,6252,Yes,Accident,5,No,4,No
343,28,Health,8,45481,3,3330,Yes,Theft,1,No,4,No
344,42,Auto,20,21547,1,4012,Yes,Theft,5,No,3,Yes
345,46,Travel,15,6607,7,4933,No,Other,3,No,2,No
346,45,Auto,0,26275,6,3546,Yes,Damage,1,Yes,2,No
347,22,Health,1,22449,6,6608,No,Damage,5,No,10,No
348,43,Home,11,7475,7,2527,Yes,Other,5,No,5,Yes
349,78,Life,4,11640,6,6565,Yes,Accident,2,No,8,Yes
350,66,Health,24,46063,1,3408,,Other,3,No,5,No
351,39,Life,3,26836,6,6444,Yes,Damage,4,No,1,Yes
352,77,Auto,8,16464,5,6107,No,Other,5,No,1,Yes
353,62,Travel,20,24822,5,5896,Yes,Accident,2,No,6,No
354,29,Home,16,6872,7,5123,Yes,Accident,3,Yes,10,Yes
355,73,Auto,24,31385,6,6949,Yes,Theft,5,No,3,No
356,62,Home,21,21097,1,4295,No,Damage,2,No,9,No
357,79,Travel,4,44082,2,1604,Yes,Damage,3,No,10,Yes
358,66,Auto,12,18037,7,1637,No,Accident,2,No,3,No
359,58,Auto,5,44186,0,4084,No,Medical,5,No,6,Yes
360,30,Life,15,32651,3,4686,No,Damage,1,No,1,No
46,20,Home,9,4698,0,2681,Yes,Medical,,No,10,Yes
91,42,Travel,12,30514,3,2457,Yes,Accident,1,Yes,10,No
209,54,Travel,20,30227,0,2498,Yes,Theft,3,No,10,Yes
208,44,Auto,9,3001,0,2472,Yes,Accident,1,No,1,No
270,58,Life,1,30755,1,3766,Yes,Theft,3,No,10,Yes
54,40,Travel,22,6389,0,6792,,Theft,5,No,4,Yes
